ID_CURSO,ID_CENTRO_SIE,NOME_CURSO,NIVEL_CURSO,MODALIDADE_CURSO,CLASSIFICACAO_CURSO
1070,91,Curso Especial de Licenciatura em Sociologia,Graduação,Licenciatura,Presencial
1851,88,Residência Médica - Hematologia e Hemoterapia,Residencia Médica,Especialização,Presencial
1651,85,PG-E Residência Profissional da Saúde-Medicina Veterinária: Clínica de Grandes Animais: Clínica de Ruminantes,Outras Residências,Especialização,Presencial
1789,88,Residência Médica - Cirurgia Vascular,Residencia Médica,Especialização,Presencial
1446,88,Residência Médica - Medicina Intensiva Pediátrica,Residencia Médica,Especialização,Presencial
836,78,PG-E Design para Estamparia,Especialização,Especialização,Presencial
1654,85,PG-E Residência Profissional da Saúde-Medicina Veterinária: Medicina Veterinária Preventiva: Doenças Infecciosas e Parasitárias,Outras Residências,Especialização,Presencial
1370,88,PG-E Programa de Residência Multiprofissional Integrada em Gestão e Atenção Hospitalar Sistema Público Saúde,Outras Residências,Especialização,Presencial
949,88,Residência Médica - Cancerologia,Residencia Médica,Especialização,Presencial
1615,2712,Curso de Vidraceiro,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1004,205,Programa de Pós-Doutorado da UFSM,Pós-Graduação,Pós-Doutorado,Presencial
770,88,Residência Médica - Nefrologia,Residencia Médica,Especialização,Presencial
786,94,PG-E Gestão Educacional,Especialização,Especialização,Presencial
1231,88,PG-E Residência Multiprofissional Integrada em Sistema Público de Saúde,Outras Residências,Especialização,Presencial
1009,91,PG-E Administração e Gestão Pública,Especialização,Especialização,Presencial
1110,2732,Curso Técnico de Nível Médio Integrado em Eletromecânica na Modalidade Educação de Jovens e Adultos,Ensino Médio,Técnico,Presencial
921,205,Aluno Especial de Graduação,Especial de Graduação,Formação Especial,Apenas para vinculo dos alunos
776,88,Residência Médica - Psiquiatria,Residencia Médica,Especialização,Presencial
2309,82,GEOGRAFIA - Licenciatura,Graduação,Licenciatura,EAD
773,88,Residência Médica - Anestesiologia,Residencia Médica,Especialização,Presencial
2137,91,PG-E Estudos de Gênero,Especialização,Especialização,Presencial
1449,88,Residência Médica - Neurologia Pediátrica,Residencia Médica,Especialização,Presencial
1765,2712,Curso de Operador de Retroescavadeira,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1444,88,Residência Médica - R3 - Endoscopia Respiratória,Residencia Médica,Especialização,Presencial
1373,88,Residência Médica - Radiologia e Diagnóstico por Imagem,Residencia Médica,Especialização,Presencial
1652,85,PG-E Residência Profissional da Saúde-Medicina Veterinária: Clínica de Grandes Animais: Clínica de Equinos,Outras Residências,Especialização,Presencial
2108,88,Residência Médica - Medicina de Emergência,Residencia Médica,Especialização,Presencial
1664,88,Residência Médica - Infectologia Hospitalar,Residencia Médica,Especialização,Presencial
960,2732,CTISM - Automação Industrial - Noturno,Pós-Médio,Técnico,Presencial
1467,88,PG-E Programa de Residência Multiprofissional Integrada em Saúde Mental no Sistema Público de Saúde/UFSM,Outras Residências,Especialização,Presencial
1182,88,Residência Médica - Cirurgia do Aparelho Digestivo,Residencia Médica,Especialização,Presencial
983,82,Matemática - Licenciatura e Bacharelado,Graduação,Licenciatura,Presencial
671,2712,Técnico em Informática - Pós-médio,Pós-Médio,Técnico,Presencial
1613,2712,Curso de Agente de Desenvolvimento Cooperativista,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1226,88,Residência Médica - Medicina da Família e Comunidade,Residencia Médica,Especialização,Presencial
714,85,PG Agronomia - Doutorado,Pós-Graduação,Doutorado,Presencial
752,85,PG Medicina Veterinária - Doutorado,Pós-Graduação,Doutorado,Presencial
756,85,PG Zootecnia - Produção Animal - Mestrado,Pós-Graduação,Mestrado,Presencial
2310,82,GEOGRAFIA - Licenciatura,Graduação,Licenciatura,EAD
759,85,PG Engenharia Florestal - Doutorado,Pós-Graduação,Doutorado,Presencial
802,117,PG Engenharia Elétrica - Doutorado,Pós-Graduação,Doutorado,Presencial
2004,117,PG Engenharia de Produção - Doutorado,Pós-Graduação,Doutorado,Presencial
832,82,PG Química -Doutorado,Pós-Graduação,Doutorado,Presencial
704,82,PG Física - Doutorado,Pós-Graduação,Doutorado,Presencial
683,82,Matemática - Licenciatura Plena,Graduação,Licenciatura,Presencial
974,94,Educação Especial - Licenciatura Plena,Graduação,Licenciatura,Presencial
