id_unidade_sie,nome_unidade,cod_estruturado,id_centro_sie,id_tipo_unidade,id_situacao_unidade
6271,Subdivisão de Comunicação do CCNE,02.06.05.00.0.0,82,14,1
6543,Núcleo de Gestão Orçamentária do CCR,03.07.00.00.0.0,85,14,1
6540,Núcleo de Infraestrutura do CCR,03.06.00.00.0.0,85,14,1
6534,Secretaria Administrativa do CCR,03.05.00.00.0.0,85,14,1
6535,Secretaria Integrada dos Cursos de Graduação Sig-Vaz/CCR,03.05.01.00.0.0,85,14,1
6541,Subdivisão de Patrimônio do CCR,03.06.01.00.0.0,85,14,1
6545,Subdivisão de Projetos do CCR,03.11.00.00.0.0,85,14,1
6542,Subdivisão de Tecnologia da Informação do CCR,03.06.02.00.0.0,85,14,1
6234,Divisão de Apoio Administrativo Às Ciências da Comunicação,06.14.07.00.0.0,91,14,1
6240,Núcleo de Gestão Orçamentária do CCSH,06.16.00.00.0.0,91,14,1
6221,Secretaria Administrativa do CCSH,06.14.00.00.0.0,91,14,1
6231,Secretaria Integrada de Departamentos do CCSH,06.14.05.00.0.0,91,14,1
6226,Secretaria Integrada dos Cursos de Graduação do CCSH III,06.14.03.00.0.0,91,14,1
6232,Subdivisão de Concursos e Promoções do CCSH,06.14.05.01.0.0,91,14,1
6233,Subdivisão de Comunicação do CCSH,06.14.06.00.0.0,91,14,1
6230,Subdivisão de Controle Financeiro das Pós-Graduações do CCSH,06.14.04.02.0.0,91,14,1
6227,Subdivisão de Estágios do CCSH III,06.14.03.01.0.0,91,14,1
6235,Subdivisão de Estágios do CCSH Iv,06.14.07.01.0.0,91,14,1
6242,Subdivisão de Projetos do CCSH,06.18.00.00.0.0,91,14,1
6257,Núcleo de Gestão Orçamentária do CEFD,09.08.00.00.0.0,97,14,1
6254,Núcleo de Infraestrutura do CEFD,09.07.00.00.0.0,97,14,1
6249,Secretaria Administrativa do CEFD,09.06.00.00.0.0,97,14,1
6252,Secretaria Integrada de Departamentos do CEFD,09.06.03.00.0.0,97,14,1
6251,Secretaria Integrada dos Cursos de Pós-Graduação do CEFD,09.06.02.00.0.0,97,14,1
6260,Setor de Apoio Pedagógico do CEFD,09.23.00.00.0.0,97,14,1
6259,Subdivisão de Apoio Às Atividades Acadêmico-Científicas,09.22.00.00.0.0,97,14,1
6311,Núcleo de Gestão Orçamentária do CT,07.08.00.00.0.0,117,14,1
6308,Núcleo de Infraestrutura do CT,07.07.00.00.0.0,117,14,1
6294,Secretaria Administrativa do CT,07.06.00.00.0.0,117,14,1
6299,Secretaria Integrada dos Cursos de Graduação do CT II,07.06.02.00.0.0,117,14,1
6312,Setor de Apoio Pedagógico do CT,07.13.00.00.0.0,117,14,1
6318,Subdivisão de Gestão de Qualidade,07.16.00.00.0.0,117,14,1
2686,Coordenação de Licitações,01.18.04.00.0.0,205,14,1
6059,Coordenadoria de Ações Educacionais,01.08.14.00.0.0,205,14,1
5955,Coordenadoria de Articulação e Fomento à Extensão,01.07.04.00.0.0,205,14,1
3529,Coordenadoria de Concursos,01.26.03.00.0.0,205,14,1
6622,Coordenadoria de Empreendedorismo,01.28.05.00.0.0,205,14,1
3530,"Coordenadoria de Ingresso, Mobilidade e Desenvolvimento",01.26.04.00.0.0,205,14,1
2557,Coordenadoria de Obras e Planejamento Ambiental e Urbano,01.11.03.00.0.0,205,14,1
6056,Coordenadoria de Oferta e Relacionamento,01.08.13.00.0.0,205,14,1
281,Coordenadoria de Planejamento Administrativo,01.10.01.00.0.0,205,14,1
1175,Coordenadoria de Planejamento Econômico,01.10.02.00.0.0,205,14,1
285,Coordenadoria de Planejamento Informacional,01.10.04.00.0.0,205,14,1
1091,Coordenadoria de Projetos e Convênios,01.10.05.00.0.0,205,14,1
6053,Coordenadoria de Registro e Matrículas,01.08.12.00.0.0,205,14,1
3531,Coordenadoria de Saúde e Qualidade Vida do Servidor,01.26.05.00.0.0,205,14,1
6618,Coordenadoria de Transferência de Tecnologia e Propriedade Intelectual,01.28.04.00.0.0,205,14,1
3528,Coordenadoria do Sistema de Pagamentos,01.26.02.00.0.0,205,14,1
